,pH,temp,Intercept,Slope,SpecificActivity,lnactivity
ph55_15_5,5.5,15,1.11203696986878,181.831264476983,22.0186296827596,3.09188889878409
ph55_15_6,5.5,15,1.42665445152173,189.616735547254,22.9614015701752,3.13381461358544
ph55_5_1,5.5,5,0.325692414055143,138.869731680984,16.8162565707441,2.82234607155532
ph55_5_2,5.5,5,0.043657982331924,116.107824385272,14.059931859154,2.64332903993792
ph55_5_3,5.5,5,1.17807786288421,150.919907094779,18.2754574997584,2.905559039509
ph55_5_4,5.5,5,0.468861119206158,139.247951819052,16.8620566655884,2.8250659300445
ph55_5_5,5.5,5,1.0657587089066,134.684080694242,16.3094003965683,2.79174165302449
ph55_5_6,5.5,5,0.0774646589554731,147.635857606124,17.8777796319915,2.88355858037823
ph45_35_1,4.5,35,0.73666198501161,237.543606879536,28.7650461455688,3.35916097454024
ph45_35_2,4.5,35,3.06525528783745,280.962183686502,34.0227644307874,3.52702984265484
ph45_35_3,4.5,35,0.955530817325472,244.585538716981,29.6177800790094,3.3883748593399
ph45_35_4,4.5,35,1.97036373413643,258.225345834543,31.2694754721517,3.44264239717338
ph45_35_5,4.5,35,1.43869008996263,224.046926731495,27.130682533892,3.30066528425678
ph45_35_6,4.5,35,2.62710197756894,294.131452097242,35.6174805274004,3.57283654339472
ph45_25_1,4.5,25,1.51819808255987,248.294354847605,30.0668945323272,3.40342471705226
ph45_25_2,4.5,25,1.0824873154098,125.009151059587,15.1378268861219,2.71719670310497
ph45_25_3,4.5,25,0.710310527183961,214.416903622641,25.9645469230542,3.25673202761792
ph45_25_4,4.5,25,1.61833166684289,234.633494036284,28.4126496684563,3.34683445686233
ph45_25_5,4.5,25,0.480694141278301,209.924445018868,25.4205382640035,3.23555744036024
ph45_25_6,4.5,25,1.87538208580116,224.614352687954,27.1993942708069,3.30319470359835
ph45_15_1,4.5,15,0.382549878847484,192.114443549477,23.2638583985694,3.14690101461359
ph45_15_2,4.5,15,-0.0573661401952119,195.381365087808,23.6594621786018,3.1637631270409
ph45_15_3,4.5,15,-0.021807272236767,190.171398432239,23.0285677789039,3.13673552253288
ph45_15_4,4.5,15,0.480032998048259,207.73141696807,25.1549762734772,3.22505574072984
ph45_15_5,4.5,15,0.0311728951738015,163.663866603048,19.8186713464628,2.98662449065396
ph45_15_6,4.5,15,1.08723148313735,155.866967488704,18.8745155943352,2.93781263092949
ph45_5_1,4.5,5,-0.261081368594434,111.580276215402,13.5116740729589,2.60355405791195
ph45_5_2,4.5,5,0.904085816966477,119.346163443528,14.4520744794897,2.67083796684876
