"","enzyme","temp","pH","activity","lnactivity","revK"
"ph75_35_3","APase",35,7.5,3.22063410736799,1.16957826792262,0.00324517280545189
"ph75_35_4","APase",35,7.5,15.2340213644451,2.72353117436822,0.00324517280545189
"ph75_35_5","APase",35,7.5,19.0313083788687,2.94608543243223,0.00324517280545189
"ph75_35_6","APase",35,7.5,10.1688012174391,2.3193243287213,0.00324517280545189
"ph75_25_1","APase",25,7.5,2.57425794437321,0.945561315642301,0.00335401643468053
"ph75_25_2","APase",25,7.5,19.5134069351387,2.97110176446101,0.00335401643468053
"ph75_25_3","APase",25,7.5,2.18188671986255,0.780189970326522,0.00335401643468053
"ph75_25_4","APase",25,7.5,11.4766450040421,2.44031410114428,0.00335401643468053
"ph75_25_5","APase",25,7.5,6.82212746584116,1.9201713683486,0.00335401643468053
"ph75_25_6","APase",25,7.5,1.92556456873234,0.655219207199212,0.00335401643468053
"ph75_15_1","APase",15,7.5,5.45601809719319,1.6967192374699,0.00347041471455839
"ph75_15_2","APase",15,7.5,3.54094888987054,1.26439473921327,0.00347041471455839
"ph75_15_3","APase",15,7.5,4.72411117563721,1.55267943227437,0.00347041471455839
"ph75_15_4","APase",15,7.5,3.83475457318636,1.34410543620978,0.00347041471455839
"ph75_15_5","APase",15,7.5,7.6390208344442,2.03326943193398,0.00347041471455839
"ph75_15_6","APase",15,7.5,2.95593715369804,1.08381574227065,0.00347041471455839
"ph75_5_1","APase",5,7.5,2.56321822104214,0.941263586575338,0.00359518245550962
"ph75_5_2","APase",5,7.5,4.61188805739023,1.52863733008064,0.00359518245550962
"ph75_5_3","APase",5,7.5,3.29305313413656,1.19181513874433,0.00359518245550962
"ph75_5_4","APase",5,7.5,3.10261684121675,1.13224589773133,0.00359518245550962
"ph75_5_5","APase",5,7.5,3.19653793599728,1.16206832913397,0.00359518245550962
"ph75_5_6","APase",5,7.5,3.35418008013651,1.21020735311549,0.00359518245550962
"ph65_35_1","APase",35,6.5,6.79357059355408,1.91597666396616,0.00324517280545189
"ph65_35_2","APase",35,6.5,7.39496611623914,2.00079951416973,0.00324517280545189
"ph65_35_3","APase",35,6.5,8.81596427273336,2.17656419985395,0.00324517280545189
"ph65_35_4","APase",35,6.5,10.0123718685689,2.30382151516591,0.00324517280545189
