Time,35_1,35_2,35_3,35_4,35_5,35_6,25_1,25_2,25_3,25_4,25_5,25_6,15_1,15_2,15_3,15_4,15_5,15_6,5_1,5_2,5_3,5_4,5_5,5_6
0.233,16.44866422,17.33812881,15.89215177,16.54640766,14.52013664,18.35551698,20.41475049,14.15878425,17.10628452,16.63103255,14.72315319,16.66818335,20.60394385,19.07470238,19.41367781,20.1805335,17.825,19.60032733,15.71732394,18.22357143,20.04839939,18.83031915,16.83161321,20.21618962
0.250,16.39349511,15.7989547,15.81569069,16.7,14.1379986,17.75700758,20.06650071,13.73706675,16.68198064,16.12352941,14.74760766,16.22322205,19.69555695,20.38937198,20.01194121,20.42521435,18.93894231,21.25923295,16.37777778,19.40419501,20.139637,18.75857927,17.4337885,19.86541219
0.267,16.8369789,16.48844194,15.99436834,16.67310924,14.09699965,18.2390625,19.69892537,14.16924342,16.71569333,16.57916667,15.09385965,15.98861434,20.53939394,19.40201973,20.21846295,20.00512821,19.76053512,21.10392229,16.33547009,18.11181319,20.16785714,19.21285316,17.75187735,19.99603175
0.283,17.02325581,16.20845588,16.16678114,15.93541499,14.57870146,18.48085317,20.38690476,13.87673748,17.11525974,16.55289001,14.87103848,15.99911176,21.06589213,19.3222325,19.44306507,21.01176184,20.5518018,22.12698413,16.7378741,17.51454095,20.08025162,19.0497656,18.63285024,19.66477273
0.300,15.98214286,16.89154796,15.89279333,16.31556003,14.7064643,17.86918208,20.02140351,14.26979167,16.86353695,16.29746835,15.22621059,15.73842702,20.75339213,20.40985915,19.90410757,21.12156863,20.48970588,20.06898271,16.24309317,17.90215633,21.26105183,19.29583333,18.26438619,20.71179402
0.317,16.89099822,16.85460589,16.04703283,16.51190476,13.66805475,17.82939221,19.61271847,14.28782895,16.62230082,16.19525789,14.99192982,16.86944254,19.73280913,20.8844697,21.20081169,20.7071805,20.17204737,20.96581197,16.9125817,19.53356164,20.53809524,18.46145161,18.3856383,20.15355418
0.333,17.37313988,16.32835821,15.79802216,16.73483316,14.09807414,18.93421606,20.29117063,14.68620108,16.84115981,16.68344693,15.13891311,16.37844234,20.48131313,20.32142857,20.96283255,20.5456821,20.19581441,21.30305944,18.04520975,19.61100804,20.6124031,18.58466102,18.66568752,21.57225914
0.350,16.28081232,16.52960157,16.42460317,16.1918807,14.41110767,18.26969058,20.22931338,14.32041223,17.28901996,16.37412587,14.16499001,16.32163866,21.03573781,19.27436016,21.35290404,20.72163121,20.12503805,21.41729798,18.19508593,18.85334967,20.97468117,19.089156,19.83587662,21.02051282
0.367,16.7184492,16.72148218,16.83042796,16.61723602,14.37836538,18.21413502,20.21385763,15.09671053,16.38693524,15.88509866,14.89526316,16.09651281,20.24248366,19.97018634,20.45376607,21.98358413,20.09113712,20.40317726,17.5993662,18.86067385,21.18452381,19.19042386,19.83188503,21.11119186
0.383,16.41862974,16.41470081,16.30674603,17.312249,14.7098581,17.88080929,20.21464768,14.72183579,16.96874056,16.30776515,14.47317899,16.7797619,19.63704631,20.78442513,19.93524845,20.93333333,21.20802239,21.46544337,18.44444444,19.32312092,21.70456334,20.28058511,19.26982097,20.95179211
0.400,16.35971926,17.18819444,16.73796791,16.98472344,13.63227841,18.73872951,20.16713552,14.51508994,16.31119186,16.28859801,15.03486199,16.75239192,21.27633379,21.24590567,21.05618687,20.64506689,22.01190476,20.87598566,18.06410959,19.0987395,21.15875049,19.51980874,20.05454545,20.83730159
0.417,17.37103175,16.60144231,16.46256039,16.69117647,14.281875,17.27973485,20.1164334,14.54566955,16.10119048,16.50048077,14.78453901,16.21932773,20.43167496,20.5105156,20.48987823,21.13473394,20.1943662,22.44207317,18.21388889,18.23644698,21.37134284,19.90208333,19.01329787,21.16889881
0.433,16.29477612,17.09528833,15.95276151,17.9655929,14.42795979,17.77942049,19.06389831,13.98318357,17.58257385,16.7203125,15.17826631,17.18843556,21.58495671,20.48327922,21.03120999,20.19434741,20.56013072,20.77936508,18.35160966,18.5847779,23.34920635,21.21190476,20.25,20.80370235
0.450,16.46045824,16.54134615,16.13186813,17.64662064,13.86141632,17.22670455,20.41942715,14.67979082,17.53944155,16.44548908,15.36141304,16.93217735,19.93319398,21.18056478,20.42638889,21.08598673,21.53083923,22.03300866,18.34297052,19.78356164,20.97574178,21.5281362,19.98789386,21.53111028
0.467,16.93446691,16.74175347,16.56454248,16.59103641,14.17588384,18.27960392,20.05257937,14.26907895,16.38857036,16.9422619,14.73914894,16.37371224,21.68452381,19.73097826,21.54120324,21.85606061,21.52237491,21.37144886,18.98474178,19.04257703,22.06860371,20.20496454,21.16415869,21.89414913
0.483,16.91695772,16.43224122,16.5138384,16.77656896,14.51451735,17.67746914,20.3459596,14.26666667,16.57573047,16.6140625,14.49069149,15.69990079,21.29356126,20.4340415,20.24583333,21.06841432,18.84044894,21.14248658,19.19384989,18.93586601,23.24314516,20.54877389,19.63400621,20.32079726
0.500,16.8374256,16.91319444,15.36020471,16.99833703,14.11475866,17.91534392,19.97517123,15.1954386,16.55477855,16.57832278,15.07619863,17.09866962,20.07205882,20.47439181,20.91672078,21.0858209,20.91468792,21.12144886,18.5795068,18.91544118,22.98164683,20.51213431,21.43627451,21.25956489
